"operation";"size";"time"
"v o v";1000;0.000021
"v o v";1000;0.000009
"v o v";1000;0.000008
"v o v";1000;0.000009
"v o v";1000;0.000009
"v o v";1000;0.000009
"v o v";1000;0.000008
"v o v";1000;0.000009
"v o v";1000;0.000009
"v o v";1000;0.000009
"v o v";10000;0.000083
"v o v";10000;0.000084
"v o v";10000;0.000072
"v o v";10000;0.000072
"v o v";10000;0.000072
"v o v";10000;0.000072
"v o v";10000;0.000072
"v o v";10000;0.000081
"v o v";10000;0.000063
"v o v";10000;0.000063
"v o v";50000;0.000210
"v o v";50000;0.000157
"v o v";50000;0.000126
"v o v";50000;0.000126
"v o v";50000;0.000107
"v o v";50000;0.000091
"v o v";50000;0.000090
"v o v";50000;0.000090
"v o v";50000;0.000090
"v o v";50000;0.000104
"v o v";100000;0.000180
"v o v";100000;0.000181
"v o v";100000;0.000180
"v o v";100000;0.000218
"v o v";100000;0.000180
"v o v";100000;0.000180
"v o v";100000;0.000179
"v o v";100000;0.000201
"v o v";100000;0.000199
"v o v";100000;0.000190
"v o v";500000;0.000982
"v o v";500000;0.000972
"v o v";500000;0.001016
"v o v";500000;0.000958
"v o v";500000;0.001009
"v o v";500000;0.001001
"v o v";500000;0.000965
"v o v";500000;0.001047
"v o v";500000;0.000958
"v o v";500000;0.000963
"v o v";1000000;0.001933
"v o v";1000000;0.001965
"v o v";1000000;0.002000
"v o v";1000000;0.002046
"v o v";1000000;0.001932
"v o v";1000000;0.001927
"v o v";1000000;0.001938
"v o v";1000000;0.001927
"v o v";1000000;0.001948
"v o v";1000000;0.001929
"v o v";5000000;0.009743
"v o v";5000000;0.009970
"v o v";5000000;0.009874
"v o v";5000000;0.010193
"v o v";5000000;0.010061
"v o v";5000000;0.009712
"v o v";5000000;0.010015
"v o v";5000000;0.009820
"v o v";5000000;0.009729
"v o v";5000000;0.010019
"v o v";10000000;0.019564
"v o v";10000000;0.019406
"v o v";10000000;0.019963
"v o v";10000000;0.019495
"v o v";10000000;0.019709
"v o v";10000000;0.019467
"v o v";10000000;0.019585
"v o v";10000000;0.019870
"v o v";10000000;0.019565
"v o v";10000000;0.019564
"v o v";20000000;0.039048
"v o v";20000000;0.039086
"v o v";20000000;0.038964
"v o v";20000000;0.039373
"v o v";20000000;0.039101
"v o v";20000000;0.039062
"v o v";20000000;0.038994
"v o v";20000000;0.039179
"v o v";20000000;0.039497
"v o v";20000000;0.038940
"v o v";30000000;0.057883
"v o v";30000000;0.058377
"v o v";30000000;0.058022
"v o v";30000000;0.057819
"v o v";30000000;0.058135
"v o v";30000000;0.058403
"v o v";30000000;0.059952
"v o v";30000000;0.057633
"v o v";30000000;0.057768
"v o v";30000000;0.060337
"v o v";40000000;0.078375
"v o v";40000000;0.078372
"v o v";40000000;0.078918
"v o v";40000000;0.078251
"v o v";40000000;0.078662
"v o v";40000000;0.078196
"v o v";40000000;0.078662
"v o v";40000000;0.078415
"v o v";40000000;0.080081
"v o v";40000000;0.079680
"v o v";50000000;0.098604
"v o v";50000000;0.103824
"v o v";50000000;0.100335
"v o v";50000000;0.098479
"v o v";50000000;0.099010
"v o v";50000000;0.097662
"v o v";50000000;0.098388
"v o v";50000000;0.097780
"v o v";50000000;0.097596
"v o v";50000000;0.099189
"m * v";100;0.000021
"m * v";100;0.000018
"m * v";100;0.000019
"m * v";100;0.000018
"m * v";100;0.000018
"m * v";100;0.000018
"m * v";100;0.000018
"m * v";100;0.000019
"m * v";100;0.000018
"m * v";100;0.000018
"m * v";400;0.000291
"m * v";400;0.000289
"m * v";400;0.000288
"m * v";400;0.000287
"m * v";400;0.000290
"m * v";400;0.000297
"m * v";400;0.000288
"m * v";400;0.000288
"m * v";400;0.000288
"m * v";400;0.000288
"m * v";900;0.001540
"m * v";900;0.001494
"m * v";900;0.001523
"m * v";900;0.001605
"m * v";900;0.001526
"m * v";900;0.001495
"m * v";900;0.001525
"m * v";900;0.001530
"m * v";900;0.001493
"m * v";900;0.001527
"m * v";1600;0.004859
"m * v";1600;0.004873
"m * v";1600;0.004832
"m * v";1600;0.004869
"m * v";1600;0.004856
"m * v";1600;0.004830
"m * v";1600;0.004897
"m * v";1600;0.006065
"m * v";1600;0.004880
"m * v";1600;0.004824
"m * v";2500;0.011725
"m * v";2500;0.011786
"m * v";2500;0.011704
"m * v";2500;0.011706
"m * v";2500;0.011848
"m * v";2500;0.011886
"m * v";2500;0.011825
"m * v";2500;0.011873
"m * v";2500;0.012218
"m * v";2500;0.011756
"m * v";3600;0.024485
"m * v";3600;0.024500
"m * v";3600;0.024537
"m * v";3600;0.024421
"m * v";3600;0.024494
"m * v";3600;0.024496
"m * v";3600;0.024447
"m * v";3600;0.024691
"m * v";3600;0.024400
"m * v";3600;0.024401
"m * v";4900;0.045187
"m * v";4900;0.045308
"m * v";4900;0.045879
"m * v";4900;0.045848
"m * v";4900;0.045227
"m * v";4900;0.047985
"m * v";4900;0.045202
"m * v";4900;0.045406
"m * v";4900;0.045288
"m * v";4900;0.050840
"m * v";6400;0.099117
"m * v";6400;0.112511
"m * v";6400;0.104024
"m * v";6400;0.077227
"m * v";6400;0.078993
"m * v";6400;0.078411
"m * v";6400;0.089934
"m * v";6400;0.077392
"m * v";6400;0.077858
"m * v";6400;0.079595
"m * v";8100;0.132084
"m * v";8100;0.171960
"m * v";8100;0.131558
"m * v";8100;0.129748
"m * v";8100;0.133887
"m * v";8100;0.164367
"m * v";8100;0.157206
"m * v";8100;0.129022
"m * v";8100;0.126634
"m * v";8100;0.129468
"m * v";10000;0.193204
"m * v";10000;0.189441
"m * v";10000;0.199634
"m * v";10000;0.240376
"m * v";10000;0.261370
"m * v";10000;0.194382
"m * v";10000;0.195166
"m * v";10000;0.243211
"m * v";10000;0.220776
"m * v";10000;0.224526
"m * v";12100;0.455102
"m * v";12100;0.333128
"m * v";12100;0.300586
"m * v";12100;0.298414
"m * v";12100;0.297691
"m * v";12100;0.309726
"m * v";12100;0.339484
"m * v";12100;0.349075
"m * v";12100;0.303856
"m * v";12100;0.276141
"m * v";14400;0.431052
"m * v";14400;0.401832
"m * v";14400;0.393401
"m * v";14400;0.429371
"m * v";14400;0.395959
"m * v";14400;0.394180
"m * v";14400;0.391769
"m * v";14400;0.443062
"m * v";14400;0.561611
"m * v";14400;0.491491
"m * v";16900;0.553198
"m * v";16900;0.539430
"m * v";16900;0.539778
"m * v";16900;0.616068
"m * v";16900;0.549917
"m * v";16900;0.538329
"m * v";16900;0.546359
"m * v";16900;0.561252
"m * v";16900;0.584120
"m * v";16900;0.558057
"m * v";19600;0.775753
"m * v";19600;0.728957
"m * v";19600;0.738514
"m * v";19600;0.729793
"m * v";19600;0.734053
"m * v";19600;0.730647
"m * v";19600;0.729779
"m * v";19600;0.735175
"m * v";19600;0.730789
"m * v";19600;0.727940
